year,date,state,event,party,type
2004,2004-06-01,Alabama,Primary,DEM,primary
2004,2004-06-01,Alabama,Primary,REP,primary
2004,2004-03-20,Alaska,Precinct Caucuses and District Caucuses,DEM,primary
2004,2004-05-22 2004-05-22,Alaska,Convention - Thursday 20 May,REP,primary
2004,2004-03-08,American Samoa,Territorial Convention,DEM,primary
2004,2004-02-28,American Samoa,Territorial Caucus,REP,primary
2004,2004-02-03,Arizona,Primary,DEM,primary
2004,2004-05-08,Arizona,District Caucus and State Convention,REP,primary
2004,2004-05-18,Arkansas,Primary,DEM,primary
2004,2004-05-18,Arkansas,Primary,REP,primary
2004,2004-03-02,California,Primary,DEM,primary
2004,2004-03-02,California,Primary,REP,primary
2004,2004-04-13,Colorado,Precinct Caucus,DEM,primary
2004,2004-05-21 2004-05-21,Colorado,District Conventions - Friday 14 May,DEM,primary
2004,2004-05-22,Colorado,State Convention,DEM,primary
2004,2004-06-05 2004-06-05,Colorado,District Conventions - Saturday 22 May,REP,primary
2004,2004-06-05,Colorado,State Convention,REP,primary
2004,2004-03-02,Connecticut,Primary,DEM,primary
2004,2004-03-02,Connecticut,Primary,REP,primary
2004,2004-02-03,Delaware,Primary,DEM,primary
2004,2004-05-15 2004-05-15,Delaware,State Convention - Friday 14 May,REP,primary
2004,2004-02-09 2004-02-09,Democrats Abroad,Local Caucuses - Friday 6 February,DEM,primary
2004,2004-02-23 2004-02-23,Democrats Abroad,Country Caucuses - Friday 20 February,DEM,primary
2004,2004-03-27,Democrats Abroad,Regional Caucuses,DEM,primary
2004,2004-03-28,Democrats Abroad,Global Convention,DEM,primary
2004,2004-01-13,District of Columbia,Primary,DEM,primary
2004,2004-02-14,District of Columbia,Ward Caucus,DEM,primary
2004,2004-04-29,District of Columbia,State Committee,DEM,primary
2004,2004-02-10,District of Columbia,Caucus,REP,primary
2004,2004-03-09,Florida,Primary,DEM,primary
2004,2004-03-09,Florida,Primary,REP,primary
2004,2004-03-02,Georgia,Primary,DEM,primary
2004,2004-03-02,Georgia,Primary,REP,primary
2004,2004-04-24,Guam,Territorial Convention,DEM,primary
2004,2004-02-21,Guam,Territorial Caucus,REP,primary
2004,2004-02-24,Hawaii,Precinct Caucus,DEM,primary
2004,2004-05-30,Hawaii,State Convention,DEM,primary
2004,2004-06-06 2004-06-06,Hawaii,State Convention - Friday 4 June,REP,primary
2004,2004-02-24,Idaho,County Caucus,DEM,primary
2004,2004-06-20 2004-06-20,Idaho,State Convention - Thursday 17 June,DEM,primary
2004,2004-05-25,Idaho,Primary,REP,primary
2004,2004-03-16,Illinois,Primary,DEM,primary
2004,2004-03-16,Illinois,Primary,REP,primary
2004,2004-05-15 2004-05-15,Illinois,Convention - Friday 14 May,REP,primary
2004,2004-05-04,Indiana,Primary,DEM,primary
2004,2004-05-04,Indiana,Primary,REP,primary
2004,2004-06-08 2004-06-08,Indiana,State Convention - Monday 7 June,REP,primary
2004,2004-01-19,Iowa,Caucus,DEM,primary
2004,2004-04-24,Iowa,District Conventions,DEM,primary
2004,2004-06-26,Iowa,State Convention,DEM,primary
2004,2004-01-19,Iowa,Caucus,REP,primary
2004,2004-06-11,Iowa,State Convention District Caucuses,REP,primary
2004,2004-06-12,Iowa,State Convention,REP,primary
2004,2004-03-13,Kansas,Local Unit Caucuses,DEM,primary
2004,2004-04-03,Kansas,District Caucuses,DEM,primary
2004,2004-04-24,Kansas,State Convention,DEM,primary
2004,2004-06-15 2004-06-15,Kansas,Caucus/Convention - Monday 1 March,REP,primary
2004,2004-05-18,Kentucky,Primary,DEM,primary
2004,2004-05-18,Kentucky,Primary,REP,primary
2004,2004-03-09,Louisiana,Primary,DEM,primary
2004,2004-03-09,Louisiana,Primary,REP,primary
2004,2004-02-08,Maine,Municipal Caucuses,DEM,primary
2004,2004-05-22,Maine,State Convention.,DEM,primary
2004,2004-05-15,Maine,District Caucuses and State Convention,REP,primary
2004,2004-03-02,Maryland,Primary,DEM,primary
2004,2004-03-02,Maryland,Primary,REP,primary
2004,2004-03-02,Massachusetts,Primary,DEM,primary
2004,2004-03-02,Massachusetts,Primary,REP,primary
2004,2004-02-07,Michigan,Party-run Primary,DEM,primary
2004,2004-05-15,Michigan,State Central Committee,DEM,primary
2004,2004-05-22 2004-05-22,Michigan,Congressional District Caucuses and State Convention - Friday 21 May,REP,primary
2004,2004-03-02,Minnesota,Precinct Caucuses,DEM,primary
2004,2004-05-22 2004-05-22,Minnesota,District Conventions - Saturday 1 May,REP,primary
2004,2004-06-05,Minnesota,State Convention,REP,primary
2004,2004-03-09,Mississippi,Primary,DEM,primary
2004,2004-03-09,Mississippi,Primary,REP,primary
2004,2004-02-03,Missouri,Primary,DEM,primary
2004,2004-02-03,Missouri,Primary,REP,primary
2004,2004-06-08,Montana,Primary,DEM,primary
2004,2004-06-12 2004-06-12,Montana,State Convention - Thursday 10 June,REP,primary
2004,2004-05-11,Nebraska,Primary,DEM,primary
2004,2004-06-26,Nebraska,State Convention,REP,primary
2004,2004-02-14,Nevada,Precinct Caucuses,DEM,primary
2004,2004-04-18 2004-04-18,Nevada,State Convention - Friday 16 April,DEM,primary
2004,2004-05-01 2004-05-01,Nevada,District Meetings and State Convention - Thursday 29 April,REP,primary
2004,2004-01-27,New Hampshire,Primary,DEM,primary
2004,2004-01-27,New Hampshire,Primary,REP,primary
2004,2004-06-08,New Jersey,Primary,DEM,primary
2004,2004-06-08,New Jersey,Primary,REP,primary
2004,2004-02-03,New Mexico,Presidential Preference Caucus,DEM,primary
2004,2004-06-01,New Mexico,Primary,REP,primary
2004,2004-03-02,New York,Primary,DEM,primary
