year,party,state,date,type
2000,D,IA,2000-01-24,caucus
2000,D,NH,2000-02-01,primary
2000,D,DE,2000-02-05,primary
2000,D,WA,2000-02-29,primary
2000,D,AS,2000-03-07,caucus
2000,D,CA,2000-03-07,primary
2000,D,CT,2000-03-07,primary
2000,D,GA,2000-03-07,primary
2000,D,HI,2000-03-07,caucus
2000,D,ID,2000-03-07,caucus
2000,D,ME,2000-03-07,primary
2000,D,MD,2000-03-07,primary
2000,D,MA,2000-03-07,primary
2000,D,MO,2000-03-07,primary
2000,D,NY,2000-03-07,primary
2000,D,ND,2000-03-07,caucus
2000,D,OH,2000-03-07,primary
2000,D,RI,2000-03-07,primary
2000,D,VT,2000-03-07,primary
2000,D,WA,2000-03-07,caucus
2000,D,SC,2000-03-09,caucus
2000,D,CO,2000-03-10,primary
2000,D,UT,2000-03-10,primary
2000,D,AZ,2000-03-11,primary
2000,D,MI,2000-03-11,caucus
2000,D,MN,2000-03-11,caucus
2000,D,NV,2000-03-12,caucus
2000,D,FL,2000-03-14,primary
2000,D,LA,2000-03-14,primary
2000,D,MS,2000-03-14,primary
2000,D,OK,2000-03-14,primary
2000,D,TN,2000-03-14,primary
2000,D,TX,2000-03-14,primary
2000,D,GU,2000-03-18,caucus
2000,D,IL,2000-03-21,primary
2000,D,WY,2000-03-25,caucus
2000,D,DE,2000-03-27,caucus
2000,D,VI,2000-04-01,caucus
2000,D,PR,2000-04-02,caucus
2000,D,PA,2000-04-04,primary
2000,D,WI,2000-04-04,primary
2000,D,VA,2000-04-15,caucus
2000,D,AK,2000-04-22,caucus
2000,D,DC,2000-05-02,primary
2000,D,IN,2000-05-02,primary
2000,D,NC,2000-05-02,primary
2000,D,NE,2000-05-09,primary
2000,D,WV,2000-05-09,primary
2000,D,OR,2000-05-16,primary
2000,D,AR,2000-05-23,primary
2000,D,ID,2000-05-23,primary
2000,D,KY,2000-05-23,primary
2000,D,AL,2000-06-06,primary
2000,D,MT,2000-06-06,primary
2000,D,NJ,2000-06-06,primary
2000,D,NM,2000-06-06,primary
2000,D,SD,2000-06-06,primary
2000,R,AK,2000-01-24,caucus
2000,R,IA,2000-01-24,caucus
2000,R,NH,2000-02-01,primary
2000,R,DE,2000-02-08,primary
2000,R,SC,2000-02-19,primary
2000,R,AZ,2000-02-22,primary
2000,R,MI,2000-02-22,primary
2000,R,NV,2000-02-23,caucus
2000,R,AS,2000-02-26,caucus
2000,R,GU,2000-02-26,caucus
2000,R,VI,2000-02-26,caucus
2000,R,PR,2000-02-27,primary
2000,R,ND,2000-02-29,caucus
2000,R,VA,2000-02-29,primary
2000,R,WA,2000-02-29,primary
2000,R,CA,2000-03-07,primary
2000,R,CT,2000-03-07,primary
2000,R,GA,2000-03-07,primary
2000,R,ME,2000-03-07,primary
2000,R,MD,2000-03-07,primary
2000,R,MA,2000-03-07,primary
2000,R,MN,2000-03-07,caucus
2000,R,MO,2000-03-07,primary
2000,R,NY,2000-03-07,primary
2000,R,OH,2000-03-07,primary
2000,R,RI,2000-03-07,primary
2000,R,VT,2000-03-07,primary
2000,R,WA,2000-03-07,caucus
2000,R,CO,2000-03-10,primary
2000,R,UT,2000-03-10,primary
2000,R,WY,2000-03-10,caucus
2000,R,FL,2000-03-14,primary
2000,R,LA,2000-03-14,primary
2000,R,MS,2000-03-14,primary
2000,R,OK,2000-03-14,primary
2000,R,TN,2000-03-14,primary
2000,R,TX,2000-03-14,primary
2000,R,IL,2000-03-21,primary
2000,R,PA,2000-04-04,primary
2000,R,WI,2000-04-04,primary
2000,R,DC,2000-05-02,primary
2000,R,IN,2000-05-02,primary
2000,R,NC,2000-05-02,primary
2000,R,NE,2000-05-09,primary
2000,R,WV,2000-05-09,primary
2000,R,OR,2000-05-16,primary
2000,R,HI,2000-05-19,caucus
2000,R,AR,2000-05-23,primary
2000,R,ID,2000-05-23,primary
2000,R,KY,2000-05-23,primary
2000,R,KY,2000-05-20,caucus
2000,R,AL,2000-06-06,primary
2000,R,MT,2000-06-06,primary
2000,R,NJ,2000-06-06,primary
2000,R,NM,2000-06-06,primary
2000,R,SD,2000-06-06,primary
2004,D,DC,2004-01-13,primary
2004,D,IA,2004-01-19,caucus
2004,D,NH,2004-01-27,primary
2004,D,AZ,2004-02-03,primary
2004,D,DE,2004-02-03,primary
2004,D,MO,2004-02-03,primary
2004,D,NM,2004-02-03,caucus
2004,D,ND,2004-02-03,caucus
2004,D,OK,2004-02-03,primary
2004,D,SC,2004-02-03,primary
2004,D,MI,2004-02-07,caucus
2004,D,WA,2004-02-07,caucus
2004,D,ME,2004-02-08,caucus
2004,D,TN,2004-02-10,primary
2004,D,VA,2004-02-10,primary
2004,D,DC,2004-02-14,caucus
2004,D,NV,2004-02-14,caucus
2004,D,WI,2004-02-17,primary
2004,D,HI,2004-02-24,caucus
2004,D,ID,2004-02-24,caucus
2004,D,UT,2004-02-24,primary
2004,D,CA,2004-03-02,primary
2004,D,CT,2004-03-02,primary
2004,D,GA,2004-03-02,primary
2004,D,MD,2004-03-02,primary
2004,D,MA,2004-03-02,primary
2004,D,MN,2004-03-02,caucus
2004,D,NY,2004-03-02,primary
2004,D,OH,2004-03-02,primary
2004,D,RI,2004-03-02,primary
2004,D,VT,2004-03-02,primary
2004,D,FL,2004-03-09,primary
